Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:14:43 2019,process LMZ,B2,magdzi83,3,0,0,No Error,1310.0,0.9982630815788478,-6.507029056549072,0.9999999994347413,2.637695e-07,1.358143e-07,-0.004295274
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 16:16:07 2019,process LMZ,B2,magdzi83,-1,-1,1,Rsq. IV. Error,1310.0,0.998851628367219,-5.9802985191345215,0.9867354903145462,-7.061231e-11,-1.17707e-10,-1.333762e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 16:49:52 2019,process LMZ,B2,magdzi83,-1,-3,1,Rsq. IV. Error,1310.0,0.9991592553131641,-5.8641438484191895,0.9761665285922767,-7.086372e-11,-1.184192e-10,-1.283487e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 22:28:08 2019,process LMZ,B2,magdzi83,-1,3,1,Rsq. IV. Error,1310.0,0.9989181557151611,-6.922247409820557,0.9743172560705411,-7.291679e-11,-1.196762e-10,-1.271337e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 19:38:57 2019,process LMZ,B2,magdzi83,-3,-3,1,Rsq. IV. Error,1310.0,0.9987801334210824,-7.029200553894043,0.9857919679905601,-6.679948e-11,-1.205979e-10,-1.252065e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 18:31:25 2019,process LMZ,B2,magdzi83,-3,0,1,Rsq. IV. Error,1310.0,0.9991915017334133,-5.443258285522461,0.9788227336519525,-6.558445e-11,-1.227765e-10,-1.257093e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 23:01:58 2019,process LMZ,B2,magdzi83,-3,2,1,Rsq. IV. Error,1310.0,0.9992488749213553,-7.148560047149658,0.9421198843347951,-6.914587e-11,-1.130561e-10,-1.353872e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 19:05:12 2019,process LMZ,B2,magdzi83,-4,-1,1,Rsq. IV. Error,1310.0,0.9985840685466487,-7.423887729644775,0.9868445667615934,-6.801458e-11,-1.203047e-10,-1.222319e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 20:12:54 2019,process LMZ,B2,magdzi83,0,-4,1,Rsq. IV. Error,1310.0,0.9992042135030812,-6.521280288696289,0.985784911070267,-3.726058e-11,-1.223995e-10,-1.327059e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 15:42:19 2019,process LMZ,B2,magdzi83,0,0,0,No Error,1310.0,0.9983465173803978,-5.9268293380737305,0.9910793030638142,-3.223268e-11,-1.200114e-10,-1.300665e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 17:57:34 2019,process LMZ,B2,magdzi83,0,2,1,Rsq. IV. Error,1310.0,0.9989030762839539,-5.776278495788574,0.9856936795568096,-6.248391e-11,-1.209331e-10,-1.291028e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 17:23:43 2019,process LMZ,B2,magdzi83,2,-1,1,Rsq. IV. Error,1310.0,0.9982159932062948,-5.708136558532715,0.9825536180086138,-7.216256e-11,-1.228184e-10,-1.283068e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 20:46:39 2019,process LMZ,B2,magdzi83,2,-3,1,Rsq. IV. Error,1310.0,0.9989485819967935,-6.324123859405518,0.985219146681279,-6.650624e-11,-1.191315e-10,-1.277203e-10
HY202103,D24,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 21:54:19 2019,process LMZ,B2,magdzi83,2,2,1,Rsq. IV. Error,1310.0,0.99886991776584,-5.730420112609863,0.9748244664190175,-7.350338e-11,-1.204304e-10,-1.300245e-10
